token,label_1,label_2,labels (1),30 classes,99.93% completed,labels (2),1,0.02% completed,Notes
issued,O,,,,,,,,
or,O,,,,,,,,
endorsed,O,,,,,,,,
to,O,,,,,,,,
the,O,,,,,,,,
order,O,,,,,,,,
of,b-of,,,,,,,,
',O,,,,,,,,
the,O,,,,,,,,
hongkong,i-actor,,,,,,,,
and,i-actor,,,,,,,,
shanghai,i-actor,,,,,,,,
banking,i-actor,,,,,,,,
corporation,i-actor,,,,,,,,
limited,i-actor,,,,,,,,
",",i-actor,,,,,,,,
singapore,i-actor,,,,,,,,
',i-actor,,,,,,,,
marked,O,,,,,,,,
freight,b-field,,,,,,,,
payable,i-field,,,,,,,,
as,O,,,,,,,,
per,O,,,,,,,,
charter,b-actor,,,,,,,,
party,i-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
3,O,,,,,,,,
.,O,,,,,,,,
certificate,b-document,,,,,,,,
of,i-document,,,,,,,,
quantity,b-document,,,,,,,,
issued,O,,,,,,,,
or,b-or,,,,,,,,
countersigned,b-document,,,,,,,,
by,b-by,,,,,,,,
independent,b-actor,,,,,,,,
loadport,b-document,,,,,,,,
inspector,i-actor,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
4,b-field,,,,,,,,
.,O,,,,,,,,
certificate,b-document,,,,,,,,
of,i-document,,,,,,,,
quality,i-document,,,,,,,,
issued,O,,,,,,,,
or,b-or,,,,,,,,
countersigned,b-document,,,,,,,,
by,b-by,,,,,,,,
independent,b-actor,,,,,,,,
loadport,b-document,,,,,,,,
inspector,i-actor,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
5,b-field,,,,,,,,
.,O,,,,,,,,
certificate,b-document,,,,,,,,
of,i-document,,,,,,,,
origin,i-document,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
1,O,,,,,,,,
),O,,,,,,,,
one,b-field,,,,,,,,
original,b-field,,,,,,,,
invoice,i-document,,,,,,,,
.,O,,,,,,,,
2,O,,,,,,,,
),O,,,,,,,,
full,O,,,,,,,,
set,O,,,,,,,,
original,b-field,,,,,,,,
clean,b-document,,,,,,,,
',i-field,,,,,,,,
on,i-document,,,,,,,,
board,i-document,,,,,,,,
',i-document,,,,,,,,
marine,i-document,,,,,,,,
bills,i-document,,,,,,,,
of,i-document,,,,,,,,
lading,i-document,,,,,,,,
made,O,,,,,,,,
out,O,,,,,,,,
to,O,,,,,,,,
order,O,,,,,,,,
",",O,,,,,,,,
endorsed,b-field,,,,,,,,
in,b-in,,,,,,,,
blank,b-field,,,,,,,,
",",b-and,,,,,,,,
marked,b-field,,,,,,,,
',i-field,,,,,,,,
freight,i-field,,,,,,,,
collect,i-field,,,,,,,,
",",O,,,,,,,,
notify,b-actor,,,,,,,,
applicant,i-actor,,,,,,,,
with,O,,,,,,,,
full,b-field,,,,,,,,
name,i-field,,,,,,,,
and,b-and,,,,,,,,
address,b-field,,,,,,,,
",",b-and,,,,,,,,
and,b-and,,,,,,,,
evidencing,O,,,,,,,,
shipment,i-field,,,,,,,,
effected,O,,,,,,,,
by,b-by,,,,,,,,
containerized,b-field,,,,,,,,
vessel,i-field,,,,,,,,
",",O,,,,,,,,
mentioning,O,,,,,,,,
this,O,,,,,,,,
dc,b-field,,,,,,,,
no,i-field,,,,,,,,
.,O,,,,,,,,
3,i-field,,,,,,,,
),i-field,,,,,,,,
one,b-field,,,,,,,,
packing,i-document,,,,,,,,
list,i-document,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
#ERROR!,,,,,,,,,
amend,b-field,,,,,,,,
field,i-field,,,,,,,,
46a,i-field,,,,,,,,
point,i-field,,,,,,,,
1,i-field,,,,,,,,
and,i-field,,,,,,,,
3,i-field,,,,,,,,
as,O,,,,,,,,
follows,O,,,,,,,,
instead,O,,,,,,,,
of,O,,,,,,,,
existing,O,,,,,,,,
:,O,,,,,,,,
1,O,,,,,,,,
),O,,,,,,,,
printed,b-field,,,,,,,,
copy,i-field,,,,,,,,
of,b-of,,,,,,,,
electronic,b-document,,,,,,,,
commercial,i-document,,,,,,,,
invoice,i-document,,,,,,,,
.,O,,,,,,,,
3,b-field,,,,,,,,
),O,,,,,,,,
printed,b-field,,,,,,,,
copy,i-field,,,,,,,,
of,b-of,,,,,,,,
electronic,b-document,,,,,,,,
packing,i-document,,,,,,,,
list,i-document,,,,,,,,
.,O,,,,,,,,
#ERROR!,,,,,,,,,
all,O,,,,,,,,
other,b-field,,,,,,,,
terms,i-field,,,,,,,,
and,b-and,,,,,,,,
conditions,i-field,,,,,,,,
remain,O,,,,,,,,
unchanged,O,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
1,O,,,,,,,,
),O,,,,,,,,
one,b-field,,,,,,,,
original,b-field,,,,,,,,
invoice,i-document,,,,,,,,
.,O,,,,,,,,
2,O,,,,,,,,
),O,,,,,,,,
full,O,,,,,,,,
set,O,,,,,,,,
original,b-field,,,,,,,,
clean,b-document,,,,,,,,
',i-field,,,,,,,,
on,i-document,,,,,,,,
board,i-document,,,,,,,,
',i-document,,,,,,,,
marine,i-document,,,,,,,,
bills,i-document,,,,,,,,
of,i-document,,,,,,,,
lading,i-document,,,,,,,,
made,O,,,,,,,,
out,O,,,,,,,,
to,O,,,,,,,,
order,O,,,,,,,,
",",O,,,,,,,,
endorsed,b-field,,,,,,,,
in,b-in,,,,,,,,
blank,b-field,,,,,,,,
",",b-and,,,,,,,,
marked,b-field,,,,,,,,
',i-field,,,,,,,,
freight,i-field,,,,,,,,
collect,i-field,,,,,,,,
",",O,,,,,,,,
notify,b-actor,,,,,,,,
applicant,i-actor,,,,,,,,
with,O,,,,,,,,
full,b-field,,,,,,,,
name,i-field,,,,,,,,
and,b-and,,,,,,,,
address,b-field,,,,,,,,
",",b-and,,,,,,,,
and,b-and,,,,,,,,
evidencing,O,,,,,,,,
shipment,i-field,,,,,,,,
effected,O,,,,,,,,
by,b-by,,,,,,,,
containerized,b-field,,,,,,,,
vessel,i-field,,,,,,,,
",",O,,,,,,,,
mentioning,O,,,,,,,,
this,O,,,,,,,,
dc,b-field,,,,,,,,
no,i-field,,,,,,,,
.,O,,,,,,,,
3,i-field,,,,,,,,
),i-field,,,,,,,,
one,b-field,,,,,,,,
packing,i-document,,,,,,,,
list,i-document,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
#ERROR!,,,,,,,,,
amend,b-field,,,,,,,,
field,i-field,,,,,,,,
46a,i-field,,,,,,,,
point,i-field,,,,,,,,
1,i-field,,,,,,,,
and,i-field,,,,,,,,
3,i-field,,,,,,,,
as,O,,,,,,,,
follows,O,,,,,,,,
instead,O,,,,,,,,
of,O,,,,,,,,
existing,O,,,,,,,,
:,O,,,,,,,,
1,O,,,,,,,,
),O,,,,,,,,
printed,b-field,,,,,,,,
copy,i-field,,,,,,,,
of,b-of,,,,,,,,
electronic,b-document,,,,,,,,
commercial,i-document,,,,,,,,
invoice,i-document,,,,,,,,
.,O,,,,,,,,
3,b-field,,,,,,,,
),O,,,,,,,,
printed,b-field,,,,,,,,
copy,i-field,,,,,,,,
of,b-of,,,,,,,,
electronic,b-document,,,,,,,,
packing,i-document,,,,,,,,
list,i-document,,,,,,,,
.,O,,,,,,,,
=+,,,,,,,,,
all,O,,,,,,,,
other,b-field,,,,,,,,
terms,i-field,,,,,,,,
and,b-and,,,,,,,,
conditions,i-field,,,,,,,,
remain,O,,,,,,,,
unchanged,O,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
1,O,,,,,,,,
),O,,,,,,,,
signed,b-field,,,,,,,,
commercial,b-document,,,,,,,,
invoices,i-document,,,,,,,,
in,b-in,,,,,,,,
triplicate,b-field,,,,,,,,
stating,O,,,,,,,,
vessel,b-field,,,,,,,,
',i-field,,,,,,,,
s,i-field,,,,,,,,
name,i-field,,,,,,,,
",",b-and,,,,,,,,
shipment,b-field,,,,,,,,
date,i-field,,,,,,,,
",",b-and,,,,,,,,
lot,b-field,,,,,,,,
number,i-field,,,,,,,,
",",b-and,,,,,,,,
full,b-field,,,,,,,,
description,i-field,,,,,,,,
of,b-of,,,,,,,,
merchandise,i-field,,,,,,,,
",",b-and,,,,,,,,
total,b-field,,,,,,,,
net,b-field,,,,,,,,
weight,i-field,,,,,,,,
and,b-and,,,,,,,,
total,b-field,,,,,,,,
gross,i-field,,,,,,,,
weight,i-field,,,,,,,,
(,i-field,,,,,,,,
with,b-field,,,,,,,,
packing,i-field,,,,,,,,
),i-field,,,,,,,,
and,b-and,,,,,,,,
po,b-field,,,,,,,,
number,i-field,,,,,,,,
.,O,,,,,,,,
2,O,,,,,,,,
),O,,,,,,,,
full,O,,,,,,,,
set,O,,,,,,,,
3,i-field,,,,,,,,
/,i-field,,,,,,,,
3,i-field,,,,,,,,
original,b-field,,,,,,,,
clean,b-document,,,,,,,,
on,i-document,,,,,,,,
board,i-document,,,,,,,,
ocean,i-document,,,,,,,,
bill,i-document,,,,,,,,
of,i-document,,,,,,,,
lading,i-document,,,,,,,,
made,O,,,,,,,,
out,O,,,,,,,,
to,O,,,,,,,,
order,b-field,,,,,,,,
",",b-and,,,,,,,,
endorsed,b-field,,,,,,,,
in,b-in,,,,,,,,
blank,i-field,,,,,,,,
",",b-and,,,,,,,,
marked,b-field,,,,,,,,
',i-field,,,,,,,,
freight,i-field,,,,,,,,
collect,i-field,,,,,,,,
',i-field,,,,,,,,
and,b-and,,,,,,,,
notify,b-actor,,,,,,,,
applicant,i-actor,,,,,,,,
.,O,,,,,,,,
.,O,,,,,,,,
forwarder,b-field,,,,,,,,
',i-document,,,,,,,,
s,i-document,,,,,,,,
bill,i-document,,,,,,,,
of,i-document,,,,,,,,
lading,i-document,,,,,,,,
is,O,,,,,,,,
acceptable,O,,,,,,,,
and,O,,,,,,,,
to,O,,,,,,,,
be,O,,,,,,,,
duly,b-field,,,,,,,,
signed,i-field,,,,,,,,
and,b-and,,,,,,,,
to,O,,,,,,,,
indicate,O,,,,,,,,
the,O,,,,,,,,
carrier,b-field,,,,,,,,
name,i-field,,,,,,,,
.,O,,,,,,,,
.,O,,,,,,,,
bill,b-document,,,,,,,,
of,i-document,,,,,,,,
lading,i-document,,,,,,,,
to,O,,,,,,,,
indicate,O,,,,,,,,
:,O,,,,,,,,
(,O,,,,,,,,
a,O,,,,,,,,
),O,,,,,,,,
gross,b-field,,,,,,,,
weight,i-field,,,,,,,,
",",b-and,,,,,,,,
name,b-field,,,,,,,,
",",b-and,,,,,,,,
address,b-field,,,,,,,,
and,b-and,,,,,,,,
telephone,b-field,,,,,,,,
number,i-field,,,,,,,,
of,b-of,,,,,,,,
shipping,b-actor,,,,,,,,
company,i-actor,,,,,,,,
',i-actor,,,,,,,,
s,i-actor,,,,,,,,
agent,i-actor,,,,,,,,
in,b-of,,,,,,,,
singapore,b-field,,,,,,,,
.,O,,,,,,,,
(,O,,,,,,,,
b,O,,,,,,,,
),O,,,,,,,,
description,O,,,,,,,,
of,b-of,,,,,,,,
goods,b-goods,,,,,,,,
as,O,,,,,,,,
',O,,,,,,,,
polyester,i-field,,,,,,,,
textured,i-field,,,,,,,,
yarn,i-field,,,,,,,,
.,O,,,,,,,,
(,O,,,,,,,,
c,O,,,,,,,,
),O,,,,,,,,
container,b-field,,,,,,,,
number,i-field,,,,,,,,
and,b-and,,,,,,,,
that,O,,,,,,,,
shipment,b-document,,,,,,,,
is,O,,,,,,,,
effected,O,,,,,,,,
in,b-in,,,,,,,,
40ft,b-field,,,,,,,,
hc,i-field,,,,,,,,
container,i-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
3,b-field,,,,,,,,
),O,,,,,,,,
detailed,b-document,,,,,,,,
packing,i-document,,,,,,,,
list,i-document,,,,,,,,
indicating,O,,,,,,,,
carton,i-field,,,,,,,,
number,i-field,,,,,,,,
",",b-and,,,,,,,,
net,b-field,,,,,,,,
weight,i-field,,,,,,,,
and,b-and,,,,,,,,
gross,b-field,,,,,,,,
weight,i-field,,,,,,,,
in,i-field,,,,,,,,
each,b-field,,,,,,,,
carton,i-field,,,,,,,,
",",b-and,,,,,,,,
number,b-field,,,,,,,,
of,i-field,,,,,,,,
cone,i-field,,,,,,,,
in,i-field,,,,,,,,
each,b-field,,,,,,,,
carton,i-field,,,,,,,,
",",b-and,,,,,,,,
container,b-field,,,,,,,,
number,i-field,,,,,,,,
",",b-and,,,,,,,,
goods,b-field,,,,,,,,
description,i-field,,,,,,,,
",",b-and,,,,,,,,
lot,b-field,,,,,,,,
number,i-field,,,,,,,,
",",b-and,,,,,,,,
total,b-field,,,,,,,,
no,i-field,,,,,,,,
.,i-field,,,,,,,,
of,i-field,,,,,,,,
cartons,i-field,,,,,,,,
",",b-and,,,,,,,,
total,b-field,,,,,,,,
net,i-field,,,,,,,,
and,b-and,,,,,,,,
gross,b-field,,,,,,,,
weight,i-field,,,,,,,,
.,O,,,,,,,,
.,O,,,,,,,,
detailed,b-document,,,,,,,,
packing,i-document,,,,,,,,
list,i-document,,,,,,,,
must,O,,,,,,,,
be,O,,,,,,,,
printed,O,,,,,,,,
in,O,,,,,,,,
english,O,,,,,,,,
on,O,,,,,,,,
plain,b-field,,,,,,,,
paper,i-field,,,,,,,,
without,b-and,,,,,,,,
company,b-field,,,,,,,,
letterhead,i-field,,,,,,,,
",",b-and,,,,,,,,
company,b-field,,,,,,,,
stamp,i-field,,,,,,,,
and,b-and,,,,,,,,
signature,i-field,,,,,,,,
.,O,,,,,,,,
4,O,,,,,,,,
),O,,,,,,,,
beneficiary,b-document,,,,,,,,
',i-document,,,,,,,,
s,i-document,,,,,,,,
certificate,i-document,,,,,,,,
certifying,O,,,,,,,,
that,O,,,,,,,,
copy,b-field,,,,,,,,
of,b-of,,,,,,,,
invoice,i-document,,,,,,,,
",",b-and,,,,,,,,
bill,b-field,,,,,,,,
of,i-document,,,,,,,,
lading,i-document,,,,,,,,
",",b-and,,,,,,,,
detailed,b-document,,,,,,,,
packing,i-document,,,,,,,,
list,i-document,,,,,,,,
",",b-and,,,,,,,,
test,b-document,,,,,,,,
report,i-document,,,,,,,,
and,b-and,,,,,,,,
shipment,b-document,,,,,,,,
advice,i-document,,,,,,,,
have,O,,,,,,,,
been,O,,,,,,,,
emailed,O,,,,,,,,
to,b-to,,,,,,,,
applicant,b-actor,,,,,,,,
to,b-to,,,,,,,,
the,O,,,,,,,,
attn,b-field,,,,,,,,
of,b-of,,,,,,,,
mr,b-field,,,,,,,,
a,i-field,,,,,,,,
/,i-field,,,,,,,,
ms,b-field,,,,,,,,
n,i-field,,,,,,,,
(,i-field,,,,,,,,
as,i-field,,,,,,,,
.,i-field,,,,,,,,
m,i-field,,,,,,,,
(,i-field,,,,,,,,
a,i-field,,,,,,,,
),i-field,,,,,,,,
gee,i-field,,,,,,,,
.,i-field,,,,,,,,
com,i-field,,,,,,,,
/,i-field,,,,,,,,
n,i-field,,,,,,,,
.,i-field,,,,,,,,
l,i-field,,,,,,,,
(,i-field,,,,,,,,
a,i-field,,,,,,,,
),i-field,,,,,,,,
gee,i-field,,,,,,,,
.,i-field,,,,,,,,
com,i-field,,,,,,,,
),i-field,,,,,,,,
within,b-within,,,,,,,,
3,b-field,,,,,,,,
working,i-field,,,,,,,,
days,i-field,,,,,,,,
of,b-after,,,,,,,,
shipment,b-field,,,,,,,,
date,i-field,,,,,,,,
.,O,,,,,,,,
.,O,,,,,,,,
relative,b-field,,,,,,,,
copy,i-field,,,,,,,,
of,b-of,,,,,,,,
such,O,,,,,,,,
email,i-document,,,,,,,,
is,O,,,,,,,,
required,O,,,,,,,,
.,O,,,,,,,,
5,O,,,,,,,,
),O,,,,,,,,
copy,b-field,,,,,,,,
of,b-of,,,,,,,,
shipment,b-document,,,,,,,,
advice,i-document,,,,,,,,
to,b-to,,,,,,,,
applicant,b-actor,,,,,,,,
within,b-within,,,,,,,,
3,b-field,,,,,,,,
days,i-field,,,,,,,,
of,b-after,,,,,,,,
shipment,i-field,,,,,,,,
mentioning,O,,,,,,,,
buyer,b-document,,,,,,,,
',i-document,,,,,,,,
s,i-field,,,,,,,,
open,i-field,,,,,,,,
policy,i-field,,,,,,,,
number,i-field,,,,,,,,
202,i-field,,,,,,,,
-,i-field,,,,,,,,
853h,i-field,,,,,,,,
and,b-and,,,,,,,,
shipment,b-field,,,,,,,,
details,i-field,,,,,,,,
including,O,,,,,,,,
vessel,b-field,,,,,,,,
',i-field,,,,,,,,
s,i-field,,,,,,,,
name,i-field,,,,,,,,
",",b-and,,,,,,,,
voyage,b-field,,,,,,,,
number,i-field,,,,,,,,
",",b-and,,,,,,,,
eta,b-field,,,,,,,,
",",b-and,,,,,,,,
etd,b-field,,,,,,,,
",",b-and,,,,,,,,
bill,b-field,,,,,,,,
of,i-document,,,,,,,,
lading,i-document,,,,,,,,
number,i-field,,,,,,,,
and,b-and,,,,,,,,
invoice,b-document,,,,,,,,
value,i-field,,,,,,,,
.,O,,,,,,,,
6,O,,,,,,,,
),O,,,,,,,,
one,b-field,,,,,,,,
copy,i-field,,,,,,,,
of,b-of,,,,,,,,
test,b-document,,,,,,,,
report,i-document,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
available,O,,,,,,,,
with,O,,,,,,,,
any,O,,,,,,,,
bank,b-actor,,,,,,,,
in,i-actor,,,,,,,,
singapore,b-field,,,,,,,,
by,O,,,,,,,,
negotiation,b-field,,,,,,,,
at,b-within,,,,,,,,
30,b-field,,,,,,,,
calendar,i-field,,,,,,,,
days,i-field,,,,,,,,
after,b-after,,,,,,,,
bill,i-document,,,,,,,,
of,i-document,,,,,,,,
lading,i-document,,,,,,,,
(,i-field,,,,,,,,
b,i-document,,,,,,,,
/,i-document,,,,,,,,
l,i-document,,,,,,,,
),i-field,,,,,,,,
date,i-field,,,,,,,,
(,i-field,,,,,,,,
b,i-field,,,,,,,,
/,i-document,,,,,,,,
l,i-document,,,,,,,,
date,i-field,,,,,,,,
to,O,,,,,,,,
count,O,,,,,,,,
as,i-field,,,,,,,,
day,i-field,,,,,,,,
zero,i-field,,,,,,,,
"),",i-field,,,,,,,,
against,O,,,,,,,,
presentation,O,,,,,,,,
of,O,,,,,,,,
the,O,,,,,,,,
following,O,,,,,,,,
documents,O,,,,,,,,
in,b-in,,,,,,,,
one,b-field,,,,,,,,
original,i-field,,,,,,,,
and,b-and,,,,,,,,
one,b-field,,,,,,,,
copy,i-field,,,,,,,,
unless,O,,,,,,,,
otherwise,O,,,,,,,,
stated,O,,,,,,,,
:,O,,,,,,,,
1,O,,,,,,,,
),O,,,,,,,,
beneficiary,b-document,,,,,,,,
',i-document,,,,,,,,
s,i-document,,,,,,,,
signed,i-field,,,,,,,,
commercial,i-document,,,,,,,,
invoice,i-document,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
2,O,,,,,,,,
),O,,,,,,,,
full,O,,,,,,,,
set,O,,,,,,,,
of,O,,,,,,,,
3,i-field,,,,,,,,
/,i-field,,,,,,,,
3,i-field,,,,,,,,
original,i-field,,,,,,,,
plus,O,,,,,,,,
2,b-field,,,,,,,,
non,b-document,,,,,,,,
-,i-document,,,,,,,,
negotiable,i-document,,,,,,,,
copies,i-document,,,,,,,,
clean,O,,,,,,,,
on,i-document,,,,,,,,
board,i-document,,,,,,,,
bills,i-document,,,,,,,,
of,i-document,,,,,,,,
lading,i-document,,,,,,,,
issued,O,,,,,,,,
or,O,,,,,,,,
endorsed,O,,,,,,,,
to,O,,,,,,,,
the,O,,,,,,,,
order,O,,,,,,,,
of,b-of,,,,,,,,
',O,,,,,,,,
the,O,,,,,,,,
hongkong,i-actor,,,,,,,,
and,i-actor,,,,,,,,
shanghai,i-actor,,,,,,,,
banking,i-actor,,,,,,,,
corporation,i-actor,,,,,,,,
limited,i-actor,,,,,,,,
",",i-actor,,,,,,,,
singapore,i-actor,,,,,,,,
branch,i-actor,,,,,,,,
",",i-actor,,,,,,,,
marked,O,,,,,,,,
',O,,,,,,,,
freight,b-field,,,,,,,,
payable,i-field,,,,,,,,
as,O,,,,,,,,
per,b-by,,,,,,,,
charter,b-field,,,,,,,,
party,i-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
3,O,,,,,,,,
),O,,,,,,,,
certificate,b-document,,,,,,,,
of,i-document,,,,,,,,
quantity,b-document,,,,,,,,
issued,O,,,,,,,,
or,b-or,,,,,,,,
countersigned,b-document,,,,,,,,
by,b-by,,,,,,,,
independent,b-actor,,,,,,,,
loadport,b-document,,,,,,,,
inspector,i-actor,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
4,O,,,,,,,,
),O,,,,,,,,
certificate,b-document,,,,,,,,
of,i-document,,,,,,,,
quality,i-document,,,,,,,,
issued,O,,,,,,,,
or,b-or,,,,,,,,
countersigned,b-document,,,,,,,,
by,b-by,,,,,,,,
independent,b-actor,,,,,,,,
loadport,b-document,,,,,,,,
inspector,i-actor,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
5,b-field,,,,,,,,
),i-field,,,,,,,,
certificate,b-document,,,,,,,,
of,i-document,,,,,,,,
origin,i-document,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
1,O,,,,,,,,
),O,,,,,,,,
signed,b-field,,,,,,,,
commercial,b-document,,,,,,,,
invoices,i-document,,,,,,,,
in,b-in,,,,,,,,
triplicate,b-field,,,,,,,,
stating,O,,,,,,,,
vessel,b-field,,,,,,,,
',i-field,,,,,,,,
s,i-field,,,,,,,,
name,i-field,,,,,,,,
",",b-and,,,,,,,,
shipment,b-field,,,,,,,,
date,i-field,,,,,,,,
",",b-and,,,,,,,,
lot,b-field,,,,,,,,
number,i-field,,,,,,,,
",",b-and,,,,,,,,
full,b-field,,,,,,,,
description,i-field,,,,,,,,
of,b-of,,,,,,,,
merchandise,i-field,,,,,,,,
",",b-and,,,,,,,,
total,b-field,,,,,,,,
net,b-field,,,,,,,,
weight,i-field,,,,,,,,
and,b-and,,,,,,,,
total,b-field,,,,,,,,
gross,b-field,,,,,,,,
weight,i-field,,,,,,,,
(,i-field,,,,,,,,
with,b-field,,,,,,,,
packing,i-field,,,,,,,,
),i-field,,,,,,,,
and,b-and,,,,,,,,
po,b-field,,,,,,,,
number,i-field,,,,,,,,
.,O,,,,,,,,
2,O,,,,,,,,
),O,,,,,,,,
full,b-field,,,,,,,,
set,i-field,,,,,,,,
3,i-field,,,,,,,,
/,i-field,,,,,,,,
3,i-field,,,,,,,,
original,b-field,,,,,,,,
clean,b-document,,,,,,,,
on,i-document,,,,,,,,
board,i-document,,,,,,,,
ocean,i-document,,,,,,,,
bill,i-document,,,,,,,,
of,i-document,,,,,,,,
lading,i-document,,,,,,,,
made,O,,,,,,,,
out,O,,,,,,,,
to,O,,,,,,,,
order,b-field,,,,,,,,
",",b-and,,,,,,,,
endorsed,b-field,,,,,,,,
in,b-in,,,,,,,,
blank,i-field,,,,,,,,
",",b-and,,,,,,,,
marked,b-field,,,,,,,,
',i-field,,,,,,,,
freight,i-field,,,,,,,,
collect,i-field,,,,,,,,
',i-field,,,,,,,,
and,b-and,,,,,,,,
notify,b-actor,,,,,,,,
applicant,i-actor,,,,,,,,
.,O,,,,,,,,
.,O,,,,,,,,
forwarder,b-field,,,,,,,,
',i-document,,,,,,,,
s,i-document,,,,,,,,
bill,i-document,,,,,,,,
of,i-document,,,,,,,,
lading,i-document,,,,,,,,
is,O,,,,,,,,
acceptable,O,,,,,,,,
.,O,,,,,,,,
.,O,,,,,,,,
bill,b-document,,,,,,,,
of,i-document,,,,,,,,
lading,i-document,,,,,,,,
to,O,,,,,,,,
indicate,O,,,,,,,,
:,O,,,,,,,,
(,O,,,,,,,,
a,O,,,,,,,,
),O,,,,,,,,
gross,b-field,,,,,,,,
weight,i-field,,,,,,,,
",",b-and,,,,,,,,
name,b-field,,,,,,,,
",",b-and,,,,,,,,
address,b-field,,,,,,,,
and,b-and,,,,,,,,
telephone,b-field,,,,,,,,
number,i-field,,,,,,,,
of,b-of,,,,,,,,
shipping,b-actor,,,,,,,,
company,i-actor,,,,,,,,
',i-actor,,,,,,,,
s,i-actor,,,,,,,,
agent,i-field,,,,,,,,
in,i-field,,,,,,,,
singapore,b-field,,,,,,,,
.,O,,,,,,,,
(,O,,,,,,,,
b,O,,,,,,,,
),O,,,,,,,,
container,b-field,,,,,,,,
number,i-field,,,,,,,,
and,b-and,,,,,,,,
that,O,,,,,,,,
shipment,i-field,,,,,,,,
is,O,,,,,,,,
effected,O,,,,,,,,
in,b-in,,,,,,,,
20ft,b-field,,,,,,,,
container,i-field,,,,,,,,
.,O,,,,,,,,
3,O,,,,,,,,
),O,,,,,,,,
detailed,b-document,,,,,,,,
packing,i-document,,,,,,,,
list,i-document,,,,,,,,
indicating,O,,,,,,,,
number,b-field,,,,,,,,
of,i-field,,,,,,,,
cartons,i-field,,,,,,,,
",",b-and,,,,,,,,
number,b-field,,,,,,,,
of,i-field,,,,,,,,
cones,i-field,,,,,,,,
per,i-field,,,,,,,,
carton,i-field,,,,,,,,
",",b-and,,,,,,,,
net,b-field,,,,,,,,
weight,i-field,,,,,,,,
of,b-of,,,,,,,,
each,b-field,,,,,,,,
cone,i-field,,,,,,,,
",",b-and,,,,,,,,
net,b-field,,,,,,,,
weight,i-field,,,,,,,,
and,b-and,,,,,,,,
gross,b-field,,,,,,,,
weight,i-field,,,,,,,,
of,b-of,,,,,,,,
each,O,,,,,,,,
carton,i-field,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
4,O,,,,,,,,
),O,,,,,,,,
beneficiary,b-document,,,,,,,,
',i-document,,,,,,,,
s,i-document,,,,,,,,
certificate,i-document,,,,,,,,
certifying,O,,,,,,,,
that,O,,,,,,,,
copy,b-field,,,,,,,,
of,b-of,,,,,,,,
invoice,i-document,,,,,,,,
",",b-and,,,,,,,,
bill,i-document,,,,,,,,
of,i-document,,,,,,,,
lading,i-document,,,,,,,,
",",b-and,,,,,,,,
detailed,b-document,,,,,,,,
packing,i-document,,,,,,,,
list,i-document,,,,,,,,
and,b-and,,,,,,,,
shipment,b-document,,,,,,,,
advice,i-document,,,,,,,,
have,O,,,,,,,,
been,O,,,,,,,,
emailed,O,,,,,,,,
to,b-to,,,,,,,,
applicant,b-actor,,,,,,,,
to,b-to,,,,,,,,
the,O,,,,,,,,
attn,i-field,,,,,,,,
of,b-of,,,,,,,,
ms,i-actor,,,,,,,,
valli,i-field,,,,,,,,
(,i-field,,,,,,,,
email,i-field,,,,,,,,
address,i-field,,,,,,,,
:,i-field,,,,,,,,
vaee,i-field,,,,,,,,
.,i-field,,,,,,,,
com,i-field,,,,,,,,
),i-field,,,,,,,,
within,b-within,,,,,,,,
3,b-field,,,,,,,,
working,i-field,,,,,,,,
days,i-field,,,,,,,,
after,b-after,,,,,,,,
shipment,b-field,,,,,,,,
date,i-field,,,,,,,,
.,O,,,,,,,,
.,O,,,,,,,,
relative,b-field,,,,,,,,
copy,i-field,,,,,,,,
of,b-of,,,,,,,,
such,O,,,,,,,,
email,i-field,,,,,,,,
is,O,,,,,,,,
required,O,,,,,,,,
.,O,,,,,,,,
5,O,,,,,,,,
),O,,,,,,,,
one,b-field,,,,,,,,
copy,i-field,,,,,,,,
test,i-document,,,,,,,,
report,i-document,,,,,,,,
.,O,,,,,,,,
,,,,,,,,,
1,b-field,,,,,,,,
),O,,,,,,,,
signed,b-field,,,,,,,,
commercial,b-document,,,,,,,,
invoice,i-document,,,,,,,,
in,b-in,,,,,,,,
1,b-field,,,,,,,,
original,i-field,,,,,,,,
and,b-and,,,,,,,,
2,b-field,,,,,,,,
copies,i-field,,,,,,,,
.,O,,,,,,,,
2,b-field,,,,,,,,
),O,,,,,,,,
packing,i-document,,,,,,,,
list,i-document,,,,,,,,
in,b-in,,,,,,,,
1,b-field,,,,,,,,
